PTS,AST,REB,FG_PCT,MIN
0,1,0,0.0,11.75
0,0,0,0.0,6.566666666666666
34,14,21,0.706,42.43333333333333
40,3,10,0.609,41.833333333333336
31,5,5,0.6,37.05
26,9,12,0.563,39.86666666666667
23,8,2,0.5,42.138333333333335
21,3,2,0.529,35.983333333333334
15,2,10,0.5,34.553333333333335
16,2,4,0.545,24.191666666666666
17,1,0,0.727,28.163333333333334
12,3,3,0.444,35.983333333333334
6,5,3,0.667,32.045
6,0,2,0.333,19.62
8,3,0,0.364,26.133333333333333
3,0,1,0.333,17.583333333333332
0,1,1,0.0,10.2
0,0,1,0.0,12.221666666666666
51,5,13,0.607,41.666666666666664
25,2,6,0.474,40.516666666666666
6,3,10,0.333,33.9
9,7,6,0.273,40.81666666666667
15,1,8,0.278,38.3
19,0,5,0.538,39.6
17,4,3,0.417,42.12166666666667
7,1,5,0.3,28.633333333333333
7,4,4,0.429,39.2
12,2,2,0.357,28.666666666666668
11,0,1,0.571,19.695
6,1,5,0.5,30.155
2,1,6,0.0,9.7
4,0,0,1.0,3.8666666666666667
4,0,2,0.4,5.783333333333333
3,0,0,0.25,12.445
0,0,0,0.0,3.75
0,1,1,0.0,3.8666666666666667
0,1,1,0.0,3.3833333333333333
0,0,2,0.0,3.8666666666666667
2,0,0,0.5,2.066666666666667
0,0,0,0.0,3.8666666666666667
0,0,0,0.0,2.066666666666667
0,0,0,0.0,2.066666666666667
30,9,9,0.714,43.13333333333333
41,3,4,0.636,45.153333333333336
32,5,6,0.393,38.95
17,3,20,0.556,39.53
23,1,9,0.45,38.97
23,6,5,0.583,39.333333333333336
24,4,8,0.318,41.31666666666667
15,3,11,0.214,35.766666666666666
11,9,4,0.667,31.243333333333332
9,2,18,0.571,26.138333333333332
19,1,2,0.467,41.02166666666667
16,0,4,0.5,25.65
14,3,6,0.364,34.10333333333333
9,3,9,0.5,24.041666666666668
11,1,7,0.5,33.3
7,5,3,0.375,31.44
8,5,3,0.158,37.61666666666667
8,1,5,0.429,24.38
2,1,11,0.0,28.616666666666667
9,0,3,0.4,16.183333333333334
13,0,0,0.5,14.478333333333333
6,1,5,0.4,14.65
11,1,2,0.1,32.083333333333336
2,0,1,0.5,18.3
3,5,2,0.167,25.175
7,1,3,0.4,12.233333333333333
6,2,2,0.25,28.255
7,4,0,0.3,23.031666666666666
6,0,0,0.286,14.0
3,3,2,0.167,31.7
3,1,3,1.0,15.516666666666667
4,1,2,0.667,10.416666666666666
2,0,3,0.5,3.75
2,0,0,1.0,3.9616666666666664
2,0,2,1.0,3.75
3,0,0,1.0,3.75
0,1,2,0.0,3.75
2,1,0,1.0,3.75
0,1,2,0.0,9.03
0,0,0,0.0,2.8466666666666667
1,1,0,0.0,3.75
0,0,2,0.0,3.75
0,0,0,0.0,2.183333333333333
32,12,10,0.722,37.56166666666667
31,2,6,0.75,41.565
19,6,9,0.238,42.96666666666667
26,4,4,0.438,34.733333333333334
26,1,10,0.474,40.84
26,3,5,0.45,40.083333333333336
22,7,7,0.533,41.7
13,9,7,0.25,43.156666666666666
21,3,5,0.636,35.638333333333335
23,5,5,0.421,36.83833333333333
16,2,6,0.545,30.3
17,4,6,0.462,38.93333333333333
12,8,1,0.308,35.53333333333333
10,1,9,0.571,27.8
13,1,5,0.462,30.511666666666667
9,4,6,0.273,36.53333333333333
13,1,5,0.833,30.85
2,3,6,0.143,41.906666666666666
8,1,2,0.375,20.406666666666666
9,1,2,0.5,19.2
2,1,11,0.2,39.1
8,3,6,0.429,34.538333333333334
10,0,5,0.4,23.566666666666666
0,1,5,0.0,23.54
6,0,1,0.75,11.6
6,0,0,0.667,14.906666666666666
2,0,2,1.0,7.678333333333334
4,0,0,0.667,13.001666666666667
4,0,2,0.5,14.433333333333334
4,0,2,0.0,17.516666666666666
3,0,2,0.333,7.636666666666667
3,0,0,1.0,2.7666666666666666
2,0,1,0.5,2.183333333333333
0,0,1,0.0,5.693333333333333
0,0,2,0.0,15.568333333333333
2,0,0,1.0,0.61
2,0,0,1.0,2.183333333333333
0,1,0,0.0,2.183333333333333
0,0,1,0.0,2.183333333333333
0,0,1,0.0,8.765
0,0,0,0.0,0.61
0,0,0,0.0,0.61
0,0,0,0.0,2.066666666666667
38,7,9,0.545,48.0
19,9,7,0.417,42.71666666666667
25,3,9,0.529,39.166666666666664
27,8,3,0.5,39.333333333333336
20,4,10,0.636,29.716666666666665
25,5,7,0.556,35.71666666666667
24,5,5,0.538,35.88333333333333
26,2,7,0.471,38.425
23,3,9,0.556,32.3
18,2,8,0.636,38.68333333333333
15,5,7,0.417,35.6
17,1,1,0.462,22.195
8,5,4,0.375,48.0
10,2,6,0.25,37.2
15,2,4,0.6,30.0
8,2,11,0.4,26.383333333333333
9,5,1,0.273,30.95
13,1,6,0.8,27.45
14,4,2,0.545,28.883333333333333
11,3,3,0.571,27.813333333333333
14,0,3,0.455,26.358333333333334
4,2,8,1.0,20.266666666666666
11,4,1,0.357,22.966666666666665
6,4,4,0.3,23.083333333333332
4,1,6,1.0,21.616666666666667
6,0,4,0.667,9.716666666666667
4,2,5,0.2,16.3
4,1,2,0.667,20.85
4,4,0,0.333,28.316666666666666
2,0,6,0.333,12.116666666666667
5,1,2,0.667,9.316666666666666
5,1,1,1.0,2.4
1,0,3,0.0,2.783333333333333
0,2,2,0.0,12.833333333333334
0,0,1,0.0,10.966666666666667
2,1,2,0.5,9.055
3,0,0,0.5,2.783333333333333
0,2,1,0.0,2.783333333333333
2,0,0,0.333,2.783333333333333
0,0,0,0.0,0.52
0,0,0,0.0,2.4
0,0,0,0.0,2.783333333333333
0,0,0,0.0,2.5833333333333335
29,12,13,0.6,37.55
36,5,10,0.407,39.56666666666667
33,3,7,0.435,37.42666666666667
26,7,11,0.417,41.82666666666667
30,3,7,0.476,41.81
28,4,6,0.421,40.516666666666666
17,10,8,0.5,39.03333333333333
19,2,8,0.636,27.705
25,1,5,0.636,26.738333333333333
24,2,6,0.563,34.17333333333333
19,6,5,0.467,36.7
14,1,9,0.583,31.733333333333334
16,1,11,0.7,30.748333333333335
10,6,6,0.308,35.7
7,3,7,0.167,26.983333333333334
14,4,3,0.286,33.666666666666664
9,1,3,0.75,20.338333333333335
6,3,5,0.333,23.116666666666667
10,1,5,0.714,15.175
7,4,2,0.6,30.533333333333335
0,4,5,0.0,25.35
7,4,3,0.333,25.533333333333335
4,1,4,0.5,23.25
7,0,5,0.333,33.63333333333333
3,1,7,0.25,33.7
8,1,1,0.6,9.25
4,0,1,0.286,14.851666666666667
5,0,4,0.5,16.266666666666666
5,0,2,0.667,19.673333333333332
4,2,2,0.5,15.65
2,0,0,0.5,4.3
4,0,2,0.667,18.62
2,0,0,1.0,6.656666666666666
3,0,0,0.5,3.9166666666666665
0,1,1,0.0,4.3
1,1,0,0.0,8.216666666666667
0,1,0,0.0,8.456666666666667
0,0,1,0.0,3.9166666666666665
0,0,1,0.0,2.1
0,0,1,0.0,3.5166666666666666
0,0,0,0.0,3.9166666666666665
0,0,0,0.0,4.0
0,0,0,0.0,11.65
0,0,0,0.0,2.066666666666667
0,0,0,0.0,2.1
0,0,0,0.0,0.55
0,0,0,0.0,3.5166666666666666
31,14,10,0.4,41.983333333333334
27,10,6,0.529,41.81666666666667
32,11,4,0.476,44.483333333333334
23,2,15,0.625,43.11
27,6,9,0.4,42.95
23,2,13,0.588,38.35
24,3,4,0.563,34.79666666666667
20,3,9,0.615,39.28333333333333
21,4,2,0.467,34.14333333333333
16,2,6,0.462,36.50333333333333
8,7,10,0.6,37.255
15,4,5,0.667,25.866666666666667
17,1,4,0.429,38.666666666666664
15,2,3,0.667,26.99
9,2,5,0.375,41.81666666666667
10,2,5,0.5,25.966666666666665
15,2,3,0.778,23.376666666666665
9,2,5,0.273,41.01166666666666
6,1,7,0.6,33.11666666666667
10,3,3,0.556,34.833333333333336
8,2,5,0.5,23.476666666666667
7,0,1,1.0,19.261666666666667
10,1,1,0.667,14.908333333333333
3,5,0,0.143,22.133333333333333
4,3,4,0.1,31.016666666666666
2,0,3,0.0,14.883333333333333
2,1,3,0.0,11.318333333333333
4,0,3,1.0,10.87
4,0,2,0.333,21.74
3,1,1,0.125,11.496666666666666
4,0,1,0.5,5.583333333333333
2,0,3,0.0,13.755
0,2,3,0.0,10.4
2,0,2,1.0,6.066666666666666
2,0,1,0.5,8.323333333333334
0,1,0,0.0,4.296666666666667
0,0,0,0.0,1.8833333333333333
0,0,0,0.0,2.2666666666666666
42,9,8,0.696,47.4
53,11,4,0.667,39.43666666666667
36,6,11,0.579,43.961666666666666
24,6,18,0.45,47.233333333333334
36,12,6,0.778,40.483333333333334
34,4,13,0.423,46.2
28,7,5,0.52,42.083333333333336
10,4,7,0.333,37.86666666666667
21,7,3,0.4,42.416666666666664
23,5,3,0.625,44.4
19,2,8,0.462,35.63333333333333
11,4,10,0.308,39.218333333333334
14,1,8,0.353,44.666666666666664
19,0,0,0.667,30.205
11,3,6,0.5,35.85
9,2,7,0.3,45.2
8,0,8,0.5,27.1
8,1,5,0.667,20.628333333333334
12,0,2,0.455,30.716666666666665
5,2,3,1.0,21.865
10,1,1,0.714,33.65
5,4,2,0.25,25.455
9,0,0,0.5,18.916666666666668
8,0,2,0.429,16.8
4,3,2,0.4,16.6
6,1,3,0.4,31.4
4,1,2,1.0,14.333333333333334
5,2,1,0.333,18.65
5,0,1,0.5,19.696666666666665
0,2,2,0.0,24.95
2,0,3,0.5,6.266666666666667
2,0,1,0.5,12.4
1,0,2,0.0,8.2
0,0,0,0.0,0.11666666666666667
25,3,13,0.7,33.016666666666666
21,8,8,0.545,32.38333333333333
28,3,4,0.429,35.6
23,3,4,0.429,32.04833333333333
21,5,3,0.615,29.436666666666667
20,8,6,0.35,37.538333333333334
15,2,12,0.417,38.28333333333333
16,4,9,0.545,27.833333333333332
17,0,12,0.5,35.95
19,0,3,0.5,29.606666666666666
15,0,7,0.357,32.56
10,2,14,0.267,38.0
14,4,3,0.444,24.795
12,0,4,0.667,24.4
14,1,3,0.313,25.483333333333334
10,2,2,0.25,29.616666666666667
12,1,0,0.444,20.2
5,4,5,0.25,22.1
4,4,9,0.2,23.061666666666667
12,0,1,0.333,20.15
8,0,3,0.571,12.666666666666666
9,4,0,0.8,8.55
5,6,3,0.222,22.268333333333334
5,1,3,0.333,16.911666666666665
5,4,0,0.125,30.033333333333335
3,4,4,1.0,15.888333333333334
6,1,6,0.5,12.146666666666667
2,4,2,0.25,22.75
5,0,6,0.5,11.795
8,0,1,0.429,21.64
10,0,1,0.75,9.183333333333334
5,1,4,0.333,20.285
6,2,2,1.0,5.733333333333333
5,1,1,0.667,16.483333333333334
0,1,3,0.0,25.966666666666665
3,0,5,0.0,22.518333333333334
2,0,5,0.0,15.23
2,0,5,0.5,14.216666666666667
